doc_id,term_density,numeric_density,abbreviation_ratio,redundancy_ratio,sentence_length_cv,short_sentence_ratio,long_sentence_ratio,question_ratio,formulaic_open_ratio,avg_word_length
https://doi.org/10.1002/maco.201609394,0.03208556149732621,0.375,0.0106951871657754,0.0,0.43150143181538375,0.0,0.125,0.0,0.0,5.352941176470588
https://doi.org/10.1002/maco.201709453,0.043243243243243246,0.5,0.010810810810810811,0.005405405405405406,0.4468214174688122,0.0,0.3333333333333333,0.0,0.16666666666666666,5.367567567567567
https://doi.org/10.1002/maco.201609289,0.0,0.3333333333333333,0.024390243902439025,0.0,0.34493013716416954,0.0,0.0,0.0,0.0,5.201219512195122
https://doi.org/10.1002/maco.201709659,0.044642857142857144,0.4,0.044642857142857144,0.008928571428571428,0.17541859557489733,0.0,0.0,0.0,0.0,6.035714285714286
https://doi.org/10.1002/maco.201709528,0.017543859649122806,0.14285714285714285,0.029239766081871343,0.005847953216374269,0.20625955659120934,0.0,0.0,0.0,0.0,5.631578947368421
https://doi.org/10.1002/maco.201709932,0.021164021164021163,0.3333333333333333,0.031746031746031744,0.0,0.24743582965269675,0.0,0.0,0.0,0.08333333333333333,5.190476190476191
https://doi.org/10.1002/maco.201709464,0.005319148936170213,0.625,0.047872340425531915,0.0,0.19959215999248636,0.0,0.0,0.0,0.0,5.617021276595745
https://doi.org/10.1002/maco.201609405,0.02252252252252252,0.4166666666666667,0.04054054054054054,0.0,0.33430586153656705,0.0,0.0,0.0,0.0,5.617117117117117
https://doi.org/10.1002/maco.201709550,0.012987012987012988,0.14285714285714285,0.05844155844155844,0.0,0.38030001206094344,0.0,0.14285714285714285,0.0,0.0,6.636363636363637
https://doi.org/10.1002/maco.201709895,0.021505376344086023,0.25,0.0,0.0,0.32596787938116384,0.0,0.125,0.0,0.0,5.344086021505376
https://doi.org/10.1002/maco.201770011,0.047619047619047616,0.25,0.011904761904761904,0.0,0.53239713749995,0.25,0.0,0.0,0.0,5.190476190476191
https://doi.org/10.1002/maco.201609333,0.015873015873015872,0.2857142857142857,0.015873015873015872,0.010582010582010581,0.382346069103485,0.0,0.2857142857142857,0.0,0.14285714285714285,5.677248677248677
https://doi.org/10.1002/maco.201609304,0.017391304347826087,0.2,0.05217391304347826,0.0,0.5360360002581718,0.0,0.2,0.0,0.0,6.48695652173913
https://doi.org/10.1002/maco.201709564,0.06611570247933884,0.5,0.05785123966942149,0.0,0.1642529497053867,0.0,0.0,0.0,0.25,6.429752066115703
https://doi.org/10.1002/maco.201709498,0.005434782608695652,0.5714285714285714,0.09782608695652174,0.0,0.2206280775020048,0.0,0.14285714285714285,0.0,0.0,5.244565217391305
https://doi.org/10.1002/maco.201709671,0.006097560975609756,0.0,0.0,0.0,0.31353561298005955,0.0,0.14285714285714285,0.0,0.0,5.841463414634147
https://doi.org/10.1002/maco.201709902,0.010526315789473684,0.1,0.0,0.010526315789473684,0.21443735565750907,0.0,0.0,0.0,0.0,5.5473684210526315
https://doi.org/10.1002/maco.201709456,0.014423076923076924,0.7142857142857143,0.028846153846153848,0.004807692307692308,0.3019292013097612,0.0,0.2857142857142857,0.0,0.14285714285714285,5.5625
https://doi.org/10.1002/maco.201609244,0.0,1.0,0.0658682634730539,0.0,0.362065064858227,0.0,0.2,0.0,0.0,4.473053892215569
https://doi.org/10.1002/maco.201609184,0.01910828025477707,0.125,0.006369426751592357,0.006369426751592357,0.2731437151897015,0.0,0.0,0.0,0.0,5.464968152866242
https://doi.org/10.1002/maco.201709665,0.006622516556291391,0.16666666666666666,0.006622516556291391,0.0,0.33981964531569525,0.0,0.16666666666666666,0.0,0.0,5.337748344370861
https://doi.org/10.1002/maco.201770021,0.04,0.6,0.0,0.0,1.0052661339167852,0.2,0.2,0.0,0.0,6.28
https://doi.org/10.1002/maco.201770031,0.0,0.5,0.037037037037037035,0.0,0.8518518518518519,0.5,0.0,0.0,0.0,4.925925925925926
https://doi.org/10.1002/maco.201770091,0.0,0.5,0.07407407407407407,0.0,0.8518518518518519,0.5,0.0,0.0,0.0,4.962962962962963
https://doi.org/10.1002/maco.201770064,0.009216589861751152,1.0,0.018433179723502304,0.0,0.0,0.0,1.0,0.0,0.0,5.824884792626728
https://doi.org/10.1002/maco.201770051,0.028037383177570093,0.14285714285714285,0.018691588785046728,0.0,0.7781741902118174,0.5,0.0,0.0,0.0,5.682242990654205
https://doi.org/10.1002/maco.201770074,0.014492753623188406,0.0,0.057971014492753624,0.0,0.0,0.0,1.0,0.0,0.0,6.0
https://doi.org/10.1002/maco.201770071,0.011363636363636364,0.1111111111111111,0.0,0.0,0.9170109546287277,0.4444444444444444,0.0,0.0,0.0,5.2272727272727275
https://doi.org/10.1002/maco.201770101,0.021739130434782608,0.1111111111111111,0.021739130434782608,0.0,1.1600428582135445,0.6666666666666666,0.0,0.0,0.0,5.1521739130434785
https://doi.org/10.1002/maco.201770121,0.020833333333333332,0.25,0.08333333333333333,0.0,0.4370036867375631,0.25,0.0,0.0,0.0,5.041666666666667
https://doi.org/10.1002/maco.201770114,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.5
https://doi.org/10.1002/maco.201770035,0.0,0.4,0.0,0.0,0.34426518632954817,0.0,0.0,0.0,0.0,6.033333333333333
https://doi.org/10.1002/maco.201770106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6666666666666665
https://doi.org/10.1002/maco.201770056,0.01818181818181818,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.290909090909091
https://doi.org/10.1002/maco.201770041,0.04950495049504951,0.07692307692307693,0.0,0.0,1.4074040633135971,0.6923076923076923,0.0,0.0,0.0,5.227722772277228
https://doi.org/10.1002/maco.201770061,0.030303030303030304,0.16666666666666666,0.0,0.0,0.9889193255806497,0.5,0.0,0.0,0.0,5.53030303030303
https://doi.org/10.1002/maco.201770081,0.007462686567164179,0.3333333333333333,0.022388059701492536,0.0,0.8347541166632575,0.16666666666666666,0.16666666666666666,0.0,0.0,6.365671641791045
https://doi.org/10.1108/acmm-06-2018-1955,0.014285714285714285,0.07692307692307693,0.004761904761904762,0.009523809523809525,0.5455655078503489,0.07692307692307693,0.07692307692307693,0.0,0.0,6.123809523809523
https://doi.org/10.1108/acmm-12-2017-1866,0.009389671361502348,0.45454545454545453,0.04225352112676056,0.004694835680751174,0.48609123401107174,0.18181818181818182,0.09090909090909091,0.0,0.0,4.713615023474178
https://doi.org/10.1108/acmm-03-2017-1778,0.0049504950495049506,0.5,0.024752475247524754,0.009900990099009901,0.4371037634582994,0.0,0.3333333333333333,0.0,0.16666666666666666,5.2227722772277225
https://doi.org/10.1108/acmm-03-2018-1911,0.011142061281337047,0.125,0.04456824512534819,0.005571030640668524,0.44761939823255137,0.0,0.125,0.0,0.0625,5.816155988857939
https://doi.org/10.1108/acmm-03-2017-1775,0.008403361344537815,0.0,0.0,0.004201680672268907,0.419621493235173,0.0,0.1111111111111111,0.0,0.1111111111111111,6.079831932773109
https://doi.org/10.1108/acmm-06-2018-1957,0.004273504273504274,0.09090909090909091,0.0,0.004273504273504274,0.34257408245865095,0.09090909090909091,0.0,0.0,0.0,6.141025641025641
https://doi.org/10.1108/acmm-05-2018-1946,0.027777777777777776,0.09090909090909091,0.023148148148148147,0.004629629629629629,0.5412510276176105,0.0,0.09090909090909091,0.0,0.0,6.236111111111111
https://doi.org/10.1108/acmm-12-2017-1869,0.014218009478672985,0.3,0.014218009478672985,0.004739336492890996,0.3479137848764541,0.0,0.1,0.0,0.0,6.0663507109004735
https://doi.org/10.1108/acmm-05-2018-1939,0.013745704467353952,0.23529411764705882,0.041237113402061855,0.006872852233676976,0.3116366748798525,0.0,0.0,0.0,0.11764705882352941,5.415807560137457
