doi,title,year,citations,is_oa,type
https://doi.org/10.1016/j.corsci.2024.112150,Impact of diffusible hydrogen on corrosion of Alloy 600 at 288 °C: An in-situ electrochemical study,2024,12,True,article
https://doi.org/10.1016/j.corsci.2024.112160,"A predictive model for corrosion of carbon steel exposed to organic acids: Theory and validation in formic, azelaic and citric acid",2024,12,True,article
https://doi.org/10.1016/j.corsci.2024.112523,Exploring the mechanism of stress-induced passive layer degradation in additively manufactured Ni-Fe-Cr-based alloy 718,2024,12,True,article
https://doi.org/10.1016/j.corsci.2024.112551,Characterisation of the deposition and protection performance of Zr conversion coatings on steel and zinc substrates using the response surface methodology,2024,12,True,article
https://doi.org/10.1016/j.corsci.2025.112950,Study on corrosion fatigue of Ti-6Al-4V alloy under hydrostatic pressure environment in 3.5 % NaCl solution,2025,12,True,article
https://doi.org/10.1016/j.corsci.2023.111262,Temperature dependence of high-temperature corrosion on nickel-based alloy in molten carbonates for concentrated solar power applications,2023,11,True,article
https://doi.org/10.1016/j.corsci.2024.112091,How the multi-phase microstructure of a novel tool steel determines its corrosion behaviour in sulphuric acids,2024,11,True,article
https://doi.org/10.1016/j.corsci.2024.112253,The effect of weak acids on active corrosion rate in top-of-line corrosion,2024,11,True,article
https://doi.org/10.1016/j.corsci.2024.112428,Microstructure and hydrogen-induced stress corrosion cracking behaviour of U75V flash-welded joints in high-speed railways,2024,11,True,article
https://doi.org/10.1016/j.corsci.2024.112669,Study on the corrosion mechanism of X65 steel by manganese-oxidizing bacteria in marine environment,2024,11,True,article
https://doi.org/10.1016/j.corsci.2025.112769,Pitting corrosion of austenitic and duplex stainless steels in dilute acids at elevated temperature: Effect of electrolyte chemistry and material microstructure,2025,11,True,article
https://doi.org/10.1016/j.corsci.2025.112824,Experimental approach and assessment of Zr conversion coatings on Al alloy using response surface methodology,2025,11,True,article
https://doi.org/10.1016/j.corsci.2024.112439,"Progressively advantageous long-term corrosion profile of Mo over Mg, Zn, and Fe from the perspective of biodegradable metals",2024,10,True,article
https://doi.org/10.1016/j.corsci.2025.112911,Corrosion behavior in lead-bismuth eutectic of 316 L stainless steels fabricated by laser-based powder bed fusion and powder metallurgy-hot isostatic pressing,2025,10,True,article
https://doi.org/10.1016/j.corsci.2025.112928,Evolution and mechanism of hydrogen gas embrittlement susceptibility for X80 pipeline steel within the service temperature range,2025,10,True,article
